polygon_id,Class,centroid_x,centroid_y,area_m2
0,10,777107.5412020421,4544532.089859856,773.5986069246163
1,10,783925.0599632025,4559500.389507219,873.6567977502386
2,10,783643.5913496852,4559562.467904434,866.2616842220797
3,10,783491.6791755517,4559672.988743858,1434.6706530291788
4,10,782523.2518511642,4559338.296415543,3254.2492276707844
5,10,780639.9507568871,4555883.398308218,1620.9544755262616
6,10,780272.7749798376,4555791.268662851,768.7909897714709
7,10,778997.2364715539,4555651.445861912,1055.6310198003034
8,10,779506.7551008186,4555912.303775372,2172.0919606093075
9,10,779897.6285062669,4556271.917588107,1491.347139619307
10,10,780529.2077745118,4556452.890771767,1340.0840810144527
11,10,778006.399136181,4544417.49366971,282.56816280901455
12,10,777740.1910098875,4544450.849259212,497.53197832561204
13,10,783219.6809972406,4557363.875416192,512.5993834243163
14,10,780931.292647777,4557516.006458578,2478.730254336757
15,10,782486.0815460758,4556427.1849142285,2587.309120340045
16,10,784482.1700255002,4557017.252537539,2931.6916387542606
17,10,789180.8540501819,4557424.148089092,2037.9201345743782
18,10,789612.2373246382,4557426.635236059,828.1043333448958
19,10,790351.5015408582,4557552.9694023235,1312.3038571377456
20,10,790165.1169383947,4557315.033135806,2729.6475797578614
21,10,790184.4141043054,4556757.216464243,683.6903804925902
22,10,790504.0216771626,4556455.253518483,1996.2432223076041
23,10,792272.2748625485,4555874.5402509915,1329.9611738910748
24,10,793281.0128069894,4555240.959146435,802.1892935145443
25,10,794211.122942154,4553734.87834866,2698.8945210858174
26,10,778789.6569056797,4552502.735081949,251.05501146464894
27,10,782973.8571587215,4541828.8831934035,569.8086667026048
28,10,780627.8980833568,4542485.305123157,2121.5963532356386
29,10,778805.0127872269,4542726.90736403,1908.2854234403007
30,10,778771.3279193321,4543208.242915067,2099.6801701542736
31,10,822436.5514473234,4496380.220428362,381.5257512608245
32,10,823235.0174779494,4495998.44696571,2339.676628314204
33,10,825642.9592106353,4496168.2688403195,806.1607809494924
34,10,776283.7611451435,4544865.070676896,839.39133622467
35,10,775770.6571209199,4544887.616458244,1038.6996758469063
36,10,774644.84392504,4545718.846791559,1512.8539135103222
37,10,774520.5387532217,4546317.74897311,1401.5832400977092
38,10,775812.1265424057,4553128.73304287,4259.801366195273
39,10,795677.0632799492,4552397.292187926,1631.6991414984818
40,10,779830.5815520089,4552631.635241764,966.4742352838887
41,10,780591.1686689493,4552516.570913364,1367.2181833196032
42,10,781282.6322643538,4552801.308133701,1385.8328146127433
43,10,783684.0306595828,4554139.7845475525,1421.4780309755783
44,10,784399.5488197168,4554249.5540470425,1119.9799104167382
45,10,785889.7826361028,4554807.959087268,1277.5570634618841
46,10,785898.689210629,4555525.979657288,757.8234049521941
47,10,791227.7454360634,4538795.60372076,782.9775024585572
48,10,790767.8235864983,4539634.203375147,1356.8298614297764
49,10,789287.6229581209,4541192.558707448,980.4133376180073
50,10,784002.8894965263,4556322.250945815,453.50390815859896
51,10,783991.8023994158,4556455.792187244,767.3875212797509
52,10,777181.8707594145,4546347.026502688,454.5587891548892
53,10,781589.7232189025,4539674.980118127,810.2481905429113
54,10,781193.7276684396,4539717.566405614,810.0230427909845
55,10,780175.9604251891,4539602.248709774,1819.98411789405
56,10,779770.6573691115,4539192.857933521,1756.4778568364845
57,10,778388.8911316247,4538674.490089055,821.5680440302257
58,10,776891.3142118586,4539026.813038906,1018.5847802961001
59,10,796911.754356855,4552159.157436552,2286.9213034896475
60,10,797476.2264139816,4551993.1661269255,530.4336576623494
61,10,798384.5168650338,4550672.031954417,1880.1885192742059
62,10,775102.2168139585,4541151.937473995,818.5245686038052
63,10,775842.2594390217,4542613.932603631,1183.1937859133152
64,10,776771.4569726499,4543350.915454037,860.3927989673927
65,10,782439.2196610367,4540122.715465675,1343.639126047341
66,10,776116.4267699842,4546538.548014709,2463.391918859602
67,10,775886.98347513,4547795.023015113,1172.4928914783218
68,10,774857.4482536354,4549245.106245558,548.1581758070735
69,10,773961.9274851758,4550448.851932106,1792.4158200303214
70,10,773753.6541402657,4553380.614396348,1960.2043666464085
71,10,775258.002650555,4552149.87147883,1718.937482262856
72,10,775567.9055781993,4552056.3013505945,1807.9982245277104
73,10,778313.0952783653,4552479.676120343,1123.1143306683507
74,10,778705.8116629628,4552365.826178046,1208.9098608285678
75,10,789614.8083424091,4544508.667700578,1997.414715796711
76,10,789222.4325583602,4544583.991659037,1665.9248662164146
77,10,788360.0329103516,4544424.946493253,1712.2831612765283
78,10,791167.1668848384,4545921.153147169,763.3741724720669
79,10,786078.8565358155,4556403.92432018,620.0306623030845
80,10,785779.6816577661,4556657.489054918,776.2658507195326
81,10,784753.6681928855,4556488.700295051,642.010572527618
82,10,797969.5280225821,4550207.196212792,1889.7545007198773
83,10,797041.1675325083,4549755.440098113,2975.0732963503724
84,10,795810.9091250419,4548291.169411145,1552.6211914879182
85,10,795540.0134112003,4547445.008707336,2653.065408260903
86,10,794454.5241402786,4547020.669024555,1871.178669099909
87,10,794088.6342237964,4546640.537246148,1511.3158314231482
88,10,792601.0258938079,4546488.798724407,6069.038609951678
89,10,792412.635635598,4546181.73368743,1011.0838837041866
90,10,791937.622210316,4545916.736184137,1802.743538708827
91,10,782747.5943226557,4541609.510206257,762.5801678272287
92,10,790669.1948657228,4545591.768329685,1816.9268035191885
93,10,790493.6197479034,4544926.411133227,3447.647129619214
94,10,790121.782399425,4544733.889835507,1325.2242567487665
95,10,781193.2720680262,4557144.3494224595,965.2689845097611
96,10,781791.9931064261,4557376.682784755,1026.4381702951978
97,10,781583.4690511057,4557616.80960199,1407.0965521445492
98,10,787445.1938414683,4543865.24138368,2039.1196643745643
99,10,787095.1164784334,4544004.813251492,1710.7150558529204
100,10,785646.8691453902,4544043.486199305,807.973817975799
101,10,785252.0164286462,4544160.976966163,700.6380315974644
102,10,784818.9048663919,4543983.736425477,3128.768014296082
103,10,784532.5953486647,4543068.554488158,749.2956294777464
104,10,824200.256933812,4496137.449358803,1314.4113890089052
105,10,789120.6124113566,4506413.790881682,1340.9921021605414
106,10,789870.3009724761,4506647.823782698,2158.6562541372436
107,10,797051.8912859799,4511094.545434328,1115.3420933619004
108,10,796913.0299765337,4511920.957638785,805.873769956039
109,10,797301.2354596824,4512020.053189433,1275.5814296265605
110,10,827839.4894094729,4498866.053522535,556.6597911893335
111,10,827710.8616712666,4498664.809100758,598.6585462210527
112,10,827078.4888551178,4497214.057651276,1551.4626863618878
113,10,826682.5265989276,4497186.092788754,473.29277851065706
114,10,825278.675010522,4496566.038153472,1274.7839560621742
115,10,824753.058258414,4496340.720756173,794.7570432248962
116,10,825536.8716325462,4496399.615659351,1323.8347929337608
117,10,789379.1693508981,4506503.680151512,1341.8622552835739
118,10,824098.3894755278,4496872.708025493,5428.093320567486
119,10,821664.0396053275,4497459.6317126695,882.5641066680384
120,10,821400.1576758316,4497917.835366028,1829.9357313334806
121,10,820126.7419064973,4497681.50303147,2318.5649199737827
122,10,819129.9288495125,4497892.2232381655,1333.541182670111
123,10,788550.2035490216,4505992.437960637,1159.2385430421439
124,10,789343.655520654,4505553.252829815,557.1651925394185
125,10,789826.6645602715,4505432.625418364,1945.2963477184337
126,10,816265.406233071,4500003.339794303,636.9455734490265
127,10,815312.2957900134,4500157.240467141,1528.2862162682634
128,10,814087.4321276366,4499752.137154333,727.8997357896096
129,10,813793.3012020022,4499667.062124587,1203.3730521189618
130,10,792311.6643674783,4506177.724008525,2261.524066352645
131,10,800157.6013345629,4511301.1823599655,1876.6424596277684
132,10,799704.5438972051,4511418.823587517,1322.090239184991
133,10,799194.1263930833,4511232.00678876,1435.5874721956666
134,10,798942.0551718902,4512044.062606086,2042.6064697119098
135,10,788813.8438523662,4510523.166262804,909.1289826246473
136,10,788696.8959642182,4509680.631701859,1729.5305125709033
137,10,788560.557809239,4508911.6463030875,878.0961455292124
138,10,787961.8415708409,4508457.055191031,1473.1714088862973
139,10,788210.8159471174,4508221.898186848,1631.9607838813122
140,10,788653.1571388701,4508411.0537588345,603.1933350938075
141,10,790337.7613891421,4507503.85908107,390.7289505271204
142,10,789045.9498876951,4505687.380568785,1607.081132254054
143,10,813533.8477389616,4499739.335456778,560.025481749135
144,10,787935.9326614835,4511231.329144061,978.5733714805745
145,10,789930.6339641861,4511104.721944658,1865.9322574453154
146,10,790952.6218782103,4505759.49720038,3299.8636628410377
147,10,790911.0060041131,4504948.08417708,583.8265023254603
148,10,790742.7352902392,4504132.866371524,1312.853123519586
149,10,793869.0709431362,4503875.056431957,1752.5546140073761
150,10,795293.5112708226,4504916.33187295,757.0782801466652
151,10,792344.9234641857,4504652.318957602,1039.6689473396998
152,10,791386.6369584376,4505050.26374587,654.4354413341096
153,10,790930.3999234558,4505225.13348151,1985.420073564189
154,10,790517.1907846417,4505858.833795571,338.54261312604393
155,10,789943.8026430593,4506178.703017918,1863.1070645424422
156,10,813911.98156518,4500307.714035509,1334.1357476460644
157,10,816583.5769659396,4500266.8411062425,411.9882136251429
158,10,824705.2024789003,4496671.9248434855,2679.9869598398964
159,10,825217.261611635,4496999.856738699,2084.3626678797114
160,10,825339.0004399625,4497428.319901761,1482.6497745206188
161,10,824907.488156707,4497536.9978544945,1619.1477901660107
162,10,823837.7169561404,4498014.934809701,1796.5507388623314
163,10,823400.3229499273,4498678.735423768,261.03962325085615
164,10,823157.9726527396,4498935.590995886,1034.3334427467973
165,10,821538.4365302932,4500639.087635224,413.1830315053145
166,10,821056.6283630901,4500477.0713058915,905.5033771659794
167,10,818868.8715845203,4500619.796430907,586.6014528391001
168,10,816175.4389431416,4500829.389040235,2631.8562814649
169,10,818260.5301345788,4498836.169644137,1481.0894576283936
170,10,812169.5904742572,4498976.772814639,1269.7766258977783
171,10,822673.5916265396,4500463.631271273,925.0468595861608
172,10,822747.9905543673,4500631.854827384,1109.5353318076923
173,10,823108.6512604686,4500499.537095141,781.7070298783995
174,10,788644.5200962074,4542205.736672685,715.0173636144998
175,10,787551.5804866194,4542030.172752211,939.2745440543963
176,10,786469.6866439118,4542205.86210498,870.5730364902571
177,10,786241.7027565348,4542111.883678868,435.21711644405536
178,10,786159.6092175804,4541929.306700442,461.73571785588274
179,10,785635.2837271923,4541923.3641363075,457.38346736374365
180,10,784681.9708748695,4542121.84594469,1857.349464893287
181,10,783325.5623154518,4542038.757888587,1594.9437382074832
182,10,824330.0661668143,4498283.582122967,1499.363225603949
183,10,814250.2146145192,4499135.688551396,795.4495560953537
184,10,814930.474567715,4499360.110516133,1709.5286595928642
185,10,815443.4730275327,4499184.051109501,1545.850911720542
186,10,816644.9407185917,4498469.7212051805,1735.514659771115
187,10,817314.1507082382,4499276.049384096,950.7516422517896
188,10,817491.2806198904,4499607.476507902,1664.4215722316558
189,10,818643.1769580612,4499938.913548644,880.3698792475815
190,10,820957.6498857933,4499480.173575738,1246.819338613153
191,10,827339.6387861003,4499475.242807824,540.9413489006711
192,10,828432.5621382322,4499266.792698596,919.2567154168107
193,10,828188.3931749152,4498945.74325711,318.95082102950863
194,10,822783.9887864529,4500129.701781775,720.3402424171671
195,10,784942.1602420523,4551268.128068358,866.6732857598747
196,10,824829.3703370396,4498247.292633199,1173.4830496915636
197,10,824619.936968953,4497763.580547697,1420.9783496316952
198,10,824203.9304394474,4496998.376235867,1420.6943679542899
199,10,823780.1529024446,4496527.953774078,505.0237716174728
200,10,819053.933123481,4493352.491714374,1150.8342146992525
201,10,819497.9965543838,4494699.272198915,511.9853668753173
202,10,819094.4418877672,4494731.047698616,1950.3612949197852
203,10,820075.6560548188,4495542.302491278,1967.101284598
204,10,820809.644670518,4496411.252541407,1475.800362702858
205,10,821181.0101915813,4496669.06882123,904.944143295408
206,10,821432.0677484573,4496358.435165303,2105.872718207724
207,10,819224.1976631221,4498320.187475015,1199.4815451019717
208,10,808199.0741446445,4501854.205043213,3099.7963144482055
209,10,778258.89533457,4555341.993714138,1259.336900585954
210,10,777779.5981852559,4556073.167211865,976.7665253148775
211,10,778589.2512705546,4556557.68973599,1141.472853597478
212,10,779095.7574381036,4557238.619788724,1284.827842982323
213,10,780043.8939047076,4558982.661108213,1644.2079421929222
214,10,779396.7440870226,4559743.556319428,537.2837297473336
215,10,779595.9633825528,4559683.3077969495,648.4188885423249
216,10,779813.9089677011,4559609.541541948,601.7941606429563
217,10,779902.8729771707,4560123.137632341,901.6146233733893
218,10,779755.4567771425,4560516.866187376,3295.1219640341396
219,10,803155.2367276254,4505909.766341128,3937.878007967287
220,10,805509.4367170698,4502183.594236663,4623.357223425724
221,10,777157.9926595966,4554039.512325252,1453.381891363598
222,10,807275.5964048262,4496400.978817306,1027.5947496330996
223,10,809606.2340546373,4498471.763429024,884.5555076379479
224,10,810375.4242516832,4499333.703709674,436.17758894263125
225,10,810208.9137024936,4499810.8614598485,657.2408155052279
226,10,809582.190419515,4500655.158061543,200.14998829163773
227,10,824412.6598200001,4537484.667663694,3205.8686228129195
228,10,828032.6342228951,4512738.3258003,1795.9506039930761
229,10,825049.668238003,4515724.567844969,374.10871422906393
230,10,828949.183217887,4512887.2933929125,1202.768447735023
